"id","type","topic","question","options","correctAnswer","answerText","explanation","correctedFromDump"
"11","single","Cost Management","Your company plans to migrate all its Hyper-V virtual machines to an Azure pay-as-you-go subscription and must use the correct expenditure model. Solution: You recommend the scalable expenditure model. Does the solution meet the goal?","A. Yes | B. No","B","No","There is no 'scalable' expenditure model. The valid models are capital expenditure (CapEx) and operational expenditure (OpEx); pay-as-you-go maps to OpEx, so this answer is incorrect.","False"
"12","single","Cost Management","Your company plans to migrate all its Hyper-V virtual machines to an Azure pay-as-you-go subscription and must use the correct expenditure model. Solution: You recommend the operational expenditure model. Does the solution meet the goal?","A. Yes | B. No","A","Yes","Pay-as-you-go cloud consumption is an ongoing, usage-based cost, which is operational expenditure (OpEx). This is the correct expenditure model, so the solution meets the goal.","False"
"13","single","AI & Big Data","You must deploy an Artificial Intelligence (AI) solution in Azure and be able to build, test, and deploy predictive analytics. Solution: You use Azure Cosmos DB. Does the solution meet the goal?","A. Yes | B. No","B","No","Azure Cosmos DB is a globally distributed NoSQL database, not a predictive analytics/ML tool. Building, testing, and deploying predictive analytics is done with Azure Machine Learning, so this does not meet the goal.","False"
"14","single","Identity","Your Active Directory forest has thousands of user accounts. All network resources will be migrated to Azure and the on-premises datacenter retired. You must minimize the effect on users after migration. Solution: You sync all the Active Directory user accounts to Azure Active Directory (Microsoft Entra ID). Does the solution meet the goal?","A. Yes | B. No","A","Yes","Syncing on-premises AD accounts to Entra ID (Azure AD) with Azure AD Connect lets users keep the same identities and sign-in experience after the datacenter is retired, minimizing the impact on users. This meets the goal.","False"
"15","single","AI & Big Data","You must deploy an Artificial Intelligence (AI) solution in Azure and be able to build, test, and deploy predictive analytics. Solution: You use Azure Machine Learning Studio. Does the solution meet the goal?","A. Yes | B. No","A","Yes","Azure Machine Learning Studio is designed to build, test, and deploy predictive analytics solutions. It directly meets the AI predictive analytics requirement.","False"
"16","single","Management Tools","Several business units each require a large number of identical Azure resources for everyday operation. You must sanction a strategy to create Azure resources automatically. Solution: You include the Azure API Management service in the strategy. Does the solution meet the goal?","A. Yes | B. No","B","No","Azure API Management publishes, secures, and manages APIs for backend services; it does not deploy Azure resources. Automated, repeatable resource creation is done with Azure Resource Manager (ARM) templates, so this does not meet the goal.","False"
"17","single","Governance","Several business units each require a large number of identical Azure resources for everyday operation. You must sanction a strategy to create Azure resources automatically. Solution: You include management groups in the strategy. Does the solution meet the goal?","A. Yes | B. No","B","No","Management groups organize subscriptions for governance and policy at scale; they do not deploy resources. Automated resource creation requires ARM templates (infrastructure as code), so this does not meet the goal.","False"
"18","single","Management Tools","Several business units each require a large number of identical Azure resources for everyday operation. You must sanction a strategy to create Azure resources automatically. Solution: You include Azure Resource Manager (ARM) templates in the strategy. Does the solution meet the goal?","A. Yes | B. No","A","Yes","ARM templates define infrastructure as code, enabling automated, repeatable, and identical deployments of Azure resources across business units. This directly meets the goal.","False"
"19","single","Support & SLA","You are deploying a critical LOB application on a virtual machine to Azure with a guaranteed availability of 99.99 percent, using as few virtual machines and availability zones as possible. Solution: You include two virtual machines and one availability zone. Does the solution meet the goal?","A. Yes | B. No","B","No","The 99.99% VM SLA requires two or more instances spread across two or more Availability Zones. Two VMs in a single zone only qualify for the 99.95% availability-set SLA, so this does not meet the goal.","False"
"20","single","Support & SLA","You are deploying a critical LOB application on a virtual machine to Azure with a guaranteed availability of 99.99 percent, using as few virtual machines and availability zones as possible. Solution: You include one virtual machine and two availability zones. Does the solution meet the goal?","A. Yes | B. No","B","No","A single VM cannot achieve 99.99%; the highest single-instance SLA is 99.9% (with Premium/Ultra disks). The 99.99% SLA requires two or more VMs across two or more Availability Zones, so this does not meet the goal.","False"
"21","single","Support & SLA","You are deploying a critical LOB application on a virtual machine to Azure with a guaranteed availability of 99.99 percent, using as few virtual machines and availability zones as possible. Solution: You include two virtual machines and two availability zones. Does the solution meet the goal?","A. Yes | B. No","A","Yes","Two or more VM instances deployed across two or more Availability Zones in the same region qualify for Azure's 99.99% VM connectivity SLA. This is the minimum configuration that meets the goal.","False"
"22","single","Compute","Developers deploy many custom virtual machines weekly (60% Windows Server 2016, 40% Ubuntu Linux) and remove them the same week. You must reduce the administrative effort with a suitable Azure service. Solution: You recommend Microsoft Managed Desktop. Does the solution meet the goal?","A. Yes | B. No","B","No","Microsoft Managed Desktop is a cloud-managed end-user PC/device service, not a way to rapidly provision and tear down developer/test VMs. Azure DevTest Labs is the appropriate service, so this does not meet the goal.","False"
"23","single","Compute","Developers deploy many custom virtual machines weekly (60% Windows Server 2016, 40% Ubuntu Linux) and remove them the same week. You must reduce the administrative effort with a suitable Azure service. Solution: You recommend Azure Reserved Virtual Machine (VM) Instances. Does the solution meet the goal?","A. Yes | B. No","B","No","Azure Reserved VM Instances are a 1- or 3-year pricing/discount commitment for steady, long-running workloads, not a provisioning tool. For short-lived, frequently recreated VMs, Azure DevTest Labs is appropriate, so this does not meet the goal.","False"
"24","single","Compute","Developers deploy many custom virtual machines weekly (60% Windows Server 2016, 40% Ubuntu Linux) and remove them the same week. You must reduce the administrative effort with a suitable Azure service. Solution: You recommend Azure DevTest Labs. Does the solution meet the goal?","A. Yes | B. No","A","Yes","Azure DevTest Labs lets teams quickly provision Windows and Linux environments from reusable templates, apply quotas/policies, and auto-shutdown to control costâ€”ideal for frequently created and removed VMs. This meets the goal.","False"
"25","single","Networking","Your company has virtual machines in a single Azure virtual network named VNet1. Remote workers need access to the VMs on VNet1. What should you do to provide access?","A. Configure a Site-to-Site (S2S) VPN. | B. Configure a VNet-to-VNet VPN. | C. Configure a Point-to-Site (P2S) VPN. | D. Configure DirectAccess on a Windows Server 2012 server VM. | E. Configure a Multi-Site VPN","C","Configure a Point-to-Site (P2S) VPN.","A Point-to-Site VPN creates a secure connection from an individual client computer to an Azure virtual network, which is ideal for individual remote workers. Site-to-Site, VNet-to-VNet, and Multi-Site VPNs connect whole networks rather than individual remote clients.","False"
"26","single","Security","Your company plans to automate server deployment to Azure but is concerned administrative credentials could be exposed during the process. You must ensure the administrative credentials are encrypted during deployment using a suitable Azure solution. Solution: You recommend Azure Information Protection. Does the solution meet the goal?","A. Yes | B. No","B","No","Azure Information Protection classifies and protects documents and emails, not deployment secrets. Encrypting and securely storing credentials/secrets during automated deployment is the job of Azure Key Vault, so this does not meet the goal.","False"
"27","single","Security","Your company plans to automate server deployment to Azure but is concerned administrative credentials could be exposed during the process. You must ensure the administrative credentials are encrypted during deployment using a suitable Azure solution. Solution: You recommend Azure Multi-Factor Authentication (MFA). Does the solution meet the goal?","A. Yes | B. No","B","No","MFA adds an extra verification step for user sign-in; it does not encrypt or store credentials/secrets used during deployment. Azure Key Vault is the correct solution, so this does not meet the goal.","False"
"28","drag-drop","Governance","Your company wants to build a cloud solution using Azure Government. Azure Government can only be used by certain types of customers. Which of the listed customer types (government contractor/entity from any country, European government contractor/entity, United States government contractor/entity) can use Azure Government?","","A United States government entity, A United States government contractor","A United States government entity and a United States government contractor.","Azure Government is a dedicated, isolated cloud instance available only to U.S. federal, state, local, and tribal governments and their qualified partners/contractors. Government entities or contractors from other countries cannot access it.","True"
"29","single","Identity","Your company has an Azure Active Directory (Microsoft Entra ID) environment. Users must be automatically prompted to change passwords when they connect from an unidentified IP address. Solution: You configure Azure AD Identity Protection. Does the solution meet the goal?","A. Yes | B. No","A","Yes","Azure AD (Entra ID) Identity Protection detects risky sign-ins such as connections from anonymous/unfamiliar IP addresses and can enforce risk-based policies that require the user to change their password. This meets the goal.","False"
"30","single","Identity","Your company has an Azure Active Directory (Microsoft Entra ID) environment. Users must be automatically prompted to change passwords when they connect from an unidentified IP address. Solution: You configure Azure AD Privileged Identity Management (PIM). Does the solution meet the goal?","A. Yes | B. No","B","No","Privileged Identity Management provides just-in-time, time-bound, approval-based activation of privileged roles; it does not respond to risky sign-ins from unknown IP addresses. Azure AD Identity Protection is the correct tool, so this does not meet the goal.","False"
"31","single","Networking","You are planning to deploy numerous web servers and database servers to Azure and must be able to control the connection types allowed between the web servers and database servers. Solution: You include network security groups (NSGs) in your strategy. Does the solution meet the goal?","A. Yes | B. No","A","Yes","Network security groups contain allow/deny rules that filter inbound and outbound traffic by source, destination, port, and protocol, letting you control which connections are permitted between the web and database tiers. This meets the goal.","False"
"32","single","Networking","You are planning to deploy numerous web servers and database servers to Azure and must be able to control the connection types allowed between the web servers and database servers. Solution: You include a local network gateway in your strategy. Does the solution meet the goal?","A. Yes | B. No","B","No","A local network gateway represents your on-premises network for a Site-to-Site VPN connection; it does not filter traffic between servers inside Azure. Controlling connections between tiers is done with network security groups, so this does not meet the goal.","False"
"33","single","Identity","Your Active Directory forest has thousands of user accounts. All network resources will be migrated to Azure and the on-premises datacenter retired. You must minimize the effect on users after migration. Solution: You plan to require Azure Multi-Factor Authentication (MFA). Does the solution meet the goal?","A. Yes | B. No","B","No","MFA strengthens sign-in security but does nothing to migrate or preserve user identities, so it does not reduce the impact on users. Syncing accounts to Entra ID (Azure AD) with Azure AD Connect is the right approach, so this does not meet the goal.","False"
"34","hotspot","Cloud Concepts","For each statement about a Platform as a Service (PaaS) solution that hosts web apps in Azure, select Yes if true, otherwise No: (1) provides full control of the operating systems that host applications; (2) provides the ability to scale the platform automatically; (3) provides professional development services to continuously add features to custom applications.","","No, Yes, Yes","Statement 1: No; Statement 2: Yes; Statement 3: Yes.","PaaS does not give full control of the underlying OS (that is IaaS), so statement 1 is No. Azure App Service supports autoscaling (Yes) and PaaS provides development frameworks/tools to build and extend custom applications (Yes).","False"
"35","hotspot","Cost Management","For each statement, select Yes if true, otherwise No: (1) Azure provides flexibility between capital expenditure (CapEx) and operational expenditure (OpEx); (2) If you create two Azure virtual machines that use the B2S size, each VM will always generate the same monthly costs; (3) When an Azure virtual machine is stopped, you continue to pay storage costs associated with the virtual machine.","","Yes, No, Yes","Statement 1: Yes; Statement 2: No; Statement 3: Yes.","Azure's pay-as-you-go model lets you shift from CapEx to OpEx (Yes). Two same-size VMs can incur different costs due to different disks, storage, and usage (No). A stopped/deallocated VM still incurs storage costs for its disks (Yes).","False"
"36","hotspot","Cloud Concepts","Complete the sentence: When you are implementing a Software as a Service (SaaS) solution, you are responsible for ____ (configuring high availability / defining scalability rules / installing the SaaS solution / configuring the SaaS solution).","","configuring the SaaS solution","configuring the SaaS solution","With SaaS, the cloud provider manages the infrastructure, high availability, scalability, and installation. The customer is responsible only for configuring the software (settings and data) to suit their needs.","False"
"37","single","Cloud Concepts","You plan to migrate all on-premises servers to Azure and need a solution that ensures some of the servers remain available if a single Azure datacenter goes offline for an extended period. What should you include in the recommendation?","A. fault tolerance | B. elasticity | C. scalability | D. low latency","A","fault tolerance","Fault tolerance is the ability of a system to keep running when components (such as a whole datacenter) failâ€”achieved here by replicating servers across Availability Zones. Elasticity, scalability, and low latency describe capacity and performance, not resilience to a datacenter outage.","False"
"38","hotspot","Cloud Concepts","Complete the sentence: An organization that hosts its infrastructure ____ can shut down its own datacenter (options: in a private cloud / in a hybrid cloud / in the public cloud / on a Hyper-V host).","","in the public cloud","in the public cloud","A public cloud (such as Azure) is hosted entirely on the provider's hardware, so an organization using it has no local infrastructure and can close its own datacenter. Private cloud, hybrid cloud, and Hyper-V hosts all require the organization to keep on-premises hardware.","False"
"39","multi","Cloud Concepts","What are two characteristics of the public cloud? Each correct answer presents a complete solution.","A. dedicated hardware | B. unsecured connections | C. limited storage | D. metered pricing | E. self-service management","D,E","metered pricing; self-service management","The public cloud uses metered, pay-as-you-go pricing and provides self-service deployment and management of resources. Hardware is shared (not dedicated), connections are secure, and storage is effectively unlimited, so A, B, and C are incorrect.","True"
"40","hotspot","Cost Management","Complete the sentence: When planning to migrate a public website to Azure, you must plan to ____ (deploy a VPN / pay monthly usage costs / pay to transfer all the website data to Azure / reduce the number of connections to the website).","","pay monthly usage costs","pay monthly usage costs","Azure uses a pay-as-you-go, consumption-based model, so hosting a public website incurs ongoing monthly usage costs. A public website does not require a VPN, inbound data transfer into Azure is free, and you would not want to reduce connections to a public site.","False"
"41","single","Cloud Concepts","Your company plans to migrate all data and resources to Azure using only Platform as a Service (PaaS) solutions. Solution: You create an Azure App Service and Azure SQL databases. Does this meet the goal?","A. Yes | B. No","A","Yes","Both Azure App Service and Azure SQL Database are fully managed PaaS offerings, so a solution built from them satisfies the PaaS-only requirement. This meets the goal.","False"
"42","single","Cloud Concepts","Your company plans to migrate all data and resources to Azure using only Platform as a Service (PaaS) solutions. Solution: You create an Azure App Service and Azure virtual machines that have Microsoft SQL Server installed. Does this meet the goal?","A. Yes | B. No","B","No","Azure virtual machines running SQL Server are Infrastructure as a Service (IaaS), not PaaS, so the solution violates the PaaS-only requirement. This does not meet the goal.","False"
"43","single","Cloud Concepts","Your company plans to migrate all data and resources to Azure using only Platform as a Service (PaaS) solutions. Solution: You create an Azure App Service and Azure Storage accounts. Does this meet the goal?","A. Yes | B. No","B","No","In this exam scenario a storage account by itself is treated as not being a PaaS 'service' the way Azure SQL Database is; it is a container that can back IaaS (managed disks) or other tiers, so the solution is marked as not meeting the strict PaaS-only requirement.","False"
"44","single","Cloud Concepts","An accounting application named App1 has low usage during the first three weeks of each month and very high usage during the last week. Which benefit of Azure supports cost management for this usage pattern?","A. high availability | B. high latency | C. elasticity | D. load balancing","C","elasticity","Elasticity lets you automatically add compute resources during the busy end-of-month period and reduce them when usage is low, so you pay only for what you need. High availability, latency, and load balancing address resilience and performance, not cost-driven scaling.","False"
"45","single","Cloud Concepts","You plan to migrate a web application accessed by external users to Azure and need a cloud deployment model that minimizes the administrative effort to manage the web application. What should you include in the recommendation?","A. Software as a Service (SaaS) | B. Platform as a Service (PaaS) | C. Infrastructure as a Service (IaaS) | D. Database as a Service (DaaS)","B","Platform as a Service (PaaS)","PaaS (for example, Azure App Service) lets you host and run your own web application while Azure manages the OS, patching, and infrastructure, minimizing administrative effort. SaaS is for finished apps you don't build, IaaS requires managing the OS, and DaaS covers databases, not web apps.","False"
"46","hotspot","Cloud Concepts","Which cloud deployment (service) model is used for Azure virtual machines and for Azure SQL databases? Select the appropriate option for each.","","Azure virtual machines: IaaS; Azure SQL databases: PaaS","Azure virtual machines = Infrastructure as a Service (IaaS); Azure SQL databases = Platform as a Service (PaaS).","Azure virtual machines give you control of the OS and are IaaS. Azure SQL Database is a fully managed database engine where Azure handles patching, backups, and upgrades, making it PaaS.","False"
"47","single","Cloud Concepts","You have an on-premises network with 100 servers and need a solution that provides additional resources to your users while minimizing both capital and operational expenditure costs. What should you include in the recommendation?","A. a complete migration to the public cloud | B. an additional data center | C. a private cloud | D. a hybrid cloud","D","a hybrid cloud","A hybrid cloud lets you keep using the existing on-premises servers (avoiding a large migration cost) while adding capacity in the public cloud on demand, minimizing both CapEx and OpEx. A full migration adds operational cost, and a new datacenter or private cloud adds heavy capital cost.","False"
"48","hotspot","Cloud Concepts","For each statement, select Yes if true, otherwise No: (1) To achieve a hybrid cloud model, a company must always migrate from a private cloud model; (2) A company can extend the capacity of its internal network by using the public cloud; (3) In a public cloud model, only guest users at your company can access the resources in the cloud.","","No, Yes, No","Statement 1: No; Statement 2: Yes; Statement 3: No.","A hybrid cloud can be formed from on-premises plus public cloud and does not require starting from a private cloud (No). The public cloud is commonly used to extend internal network capacity (Yes). Access to public cloud resources is granted to any authorized identity, not only guest users (No).","False"
"49","single","Cloud Concepts","You plan to migrate several servers from an on-premises network to Azure. What is an advantage of using a public cloud service for the servers over an on-premises network?","A. The public cloud is owned by the public, not a private corporation | B. The public cloud is a crowd-sourcing solution that provides corporations with the ability to enhance the cloud | C. All public cloud resources can be freely accessed by every member of the public | D. The public cloud is a shared entity whereby multiple corporations each use a portion of the resources in the cloud","D","The public cloud is a shared entity whereby multiple corporations each use a portion of the resources in the cloud","In a public cloud, hardware is owned and managed by the provider (Microsoft) and shared across many tenants, so customers avoid buying and maintaining their own infrastructure. It is not owned by the public, not crowd-sourced, and resources are secured behind your subscription and access controls.","False"
"50","hotspot","Cloud Concepts","To complete the sentence, select the appropriate option. Azure Site Recovery provides [ ] for virtual machines. (Options: fault tolerance, disaster recovery, elasticity, high availability)","","disaster recovery","disaster recovery","Azure Site Recovery is Azure's disaster recovery (BCDR) service that replicates and fails over VMs to another region after an outage. Fault tolerance, elasticity, and high availability are different concepts not delivered by Site Recovery.","False"
"51","single","Cloud Concepts","In which type of cloud model are all the hardware resources owned by a third-party and shared between multiple tenants?","A. private | B. hybrid | C. public","C","public","A public cloud is owned and operated by a third-party provider (Azure, AWS, GCP) with resources shared among multiple tenants. A private cloud is dedicated to one organization, and a hybrid cloud combines private and public.","False"
"52","hotspot","Cloud Concepts","To complete the sentence, select the appropriate option. An Azure web app that queries an on-premises Microsoft SQL Server is an example of a [ ] cloud. (Options: hybrid, multi-vendor, private, public)","","hybrid","hybrid","Combining a public cloud component (the Azure web app) with an on-premises resource (the SQL Server) is the definition of a hybrid cloud. Purely public or private would not span both environments.","False"
"53","single","Cost Management","You have 1,000 virtual machines hosted on Hyper-V hosts in a data center. You plan to migrate all the virtual machines to an Azure pay-as-you-go subscription. You need to identify which expenditure model to use for the planned Azure solution. Which expenditure model should you identify?","A. operational | B. elastic | C. capital | D. scalable","A","operational","Pay-as-you-go cloud consumption is an operational expenditure (OpEx) because you pay for services as you use them rather than buying hardware upfront (CapEx). Elastic and scalable are not expenditure models.","False"
"54","drag-drop","Cloud Concepts","Match each Azure service benefit to the correct description. Benefits: Disaster recovery, Fault tolerance, Low latency, Dynamic scalability. Descriptions: (1) A cloud service that remains available after a failure; (2) A cloud service that can be recovered after a failure; (3) A cloud service that performs quickly when demand increases; (4) A cloud service that can be accessed quickly from the Internet.","","1=Fault tolerance, 2=Disaster recovery, 3=Dynamic scalability, 4=Low latency","Remains available after a failure = Fault tolerance; can be recovered after a failure = Disaster recovery; performs quickly when demand increases = Dynamic scalability; accessed quickly from the Internet = Low latency","Fault tolerance keeps a service running despite a component failure; disaster recovery restores it after a failure; dynamic scalability adds resources under load; low latency means fast response/access times.","False"
"55","hotspot","Cloud Concepts","For each statement, select Yes if true, otherwise No. (1) To implement a hybrid cloud model, a company must have an internal network. (2) A company can extend the computing resources of its internal network by using a hybrid cloud. (3) In a public cloud model, only guest users at your company can access the resources in the cloud.","","Yes, Yes, No","1=Yes, 2=Yes, 3=No","A hybrid model requires an internal (private) network to combine with the public cloud, and it lets a company extend on-premises capacity into the cloud. Public cloud access is not limited to guest usersâ€”any Microsoft Entra ID (Azure AD) account you authorize can access resources.","False"
"56","hotspot","Cloud Concepts","For each statement, select Yes if true, otherwise No. (1) A Platform as a Service (PaaS) solution provides full control of the operating systems that host applications. (2) A Platform as a Service (PaaS) solution provides additional memory to apps by changing pricing tiers. (3) A Platform as a Service (PaaS) solution can automatically scale the number of instances.","","No, Yes, Yes","1=No, 2=Yes, 3=Yes","PaaS abstracts the operating system, so you do not get full OS control. You add resources such as memory by changing the pricing tier, and PaaS supports autoscaling of instances based on demand.","False"
"57","multi","Compute","Your company has an on-premises network with multiple servers. The company plans to reduce these administrative responsibilities: backing up application data; replacing failed server hardware; managing physical server security; updating server operating systems; managing permissions to shared documents. After migrating the servers to Azure virtual machines, which two responsibilities will be eliminated? Each correct answer presents a complete solution.","A. Replacing failed server hardware | B. Backing up application data | C. Managing physical server security | D. Updating server operating systems | E. Managing permissions to shared documents","A,C","Replacing failed server hardware; Managing physical server security","With IaaS VMs, Microsoft owns and manages the physical hosts, so replacing failed hardware and physical datacenter security are handled by Microsoft. You remain responsible for backups, OS updates (guest OS), and file/share permissions on the VMs.","False"
"58","hotspot","Cost Management","For each statement, select Yes if true, otherwise No. (1) Azure Pay-As-You-Go pricing is an example of CapEx. (2) Paying electricity for your datacenter is an example of OpEx. (3) Deploying your own datacenter is an example of CapEx.","","No, Yes, Yes","1=No, 2=Yes, 3=Yes","Pay-as-you-go is OpEx (you pay as you consume), not CapEx. Ongoing electricity bills are recurring operating costs, so they are OpEx. Building your own datacenter is a large upfront capital purchase, so it is CapEx.","True"
"59","single","Compute","You plan to provision Infrastructure as a Service (IaaS) resources in Azure. Which resource is an example of IaaS?","A. an Azure web app | B. an Azure virtual machine | C. an Azure logic app | D. an Azure SQL database","B","an Azure virtual machine","An Azure virtual machine is IaaS because you manage the OS and software while Microsoft manages the hardware. Azure Web Apps, Logic Apps, and Azure SQL Database are all PaaS offerings.","False"
"60","single","Cloud Concepts","To which cloud models can you deploy physical servers?","A. private cloud and hybrid cloud only | B. private cloud only | C. private cloud, hybrid cloud and public cloud | D. hybrid cloud only","A","private cloud and hybrid cloud only","You can deploy physical servers on-premises, which applies to a private cloud and to the private/on-premises portion of a hybrid cloud. In a public cloud you only deploy virtual resources, never your own physical servers.","False"
"61","drag-drop","Cloud Concepts","Match each cloud model to the correct advantage. Cloud models: Hybrid Cloud, Private Cloud, Public Cloud. Advantages: (1) No required capital expenditure; (2) Provides complete control over security; (3) Provides a choice to use on-premises or cloud-based resources.","","1=Public Cloud, 2=Private Cloud, 3=Hybrid Cloud","No required capital expenditure = Public Cloud; complete control over security = Private Cloud; choice of on-premises or cloud resources = Hybrid Cloud","Public cloud needs no upfront hardware spend (pay-as-you-go). A private cloud is on-premises, giving complete control over security. A hybrid cloud mixes on-premises and public resources, offering a choice of where to run workloads.","False"
"62","hotspot","Cloud Concepts","For each statement, select Yes if true, otherwise No. (1) A company can extend a private cloud by adding its own physical servers to the public cloud. (2) To build a hybrid cloud, you must deploy resources to the public cloud. (3) A private cloud must be disconnected from the Internet.","","No, Yes, No","1=No, 2=Yes, 3=No","You cannot add your own physical servers to the public cloud (only virtual resources), so statement 1 is No. A hybrid cloud by definition combines a private cloud with a public cloud, so building one requires public cloud resources (Yes). A private cloud is commonly Internet-connected, so it need not be disconnected (No).","True"
"63","single","Cloud Concepts","You have 50 virtual machines hosted on-premises and 50 virtual machines hosted in Azure. The on-premises virtual machines and the Azure virtual machines connect to each other. Which type of cloud model is this?","A. hybrid | B. private | C. public","A","hybrid","Connecting on-premises (private) infrastructure with Azure (public) so they communicate is the definition of a hybrid cloud. Private-only or public-only would not span both environments.","False"
"64","hotspot","Cloud Concepts","For each statement, select Yes if true, otherwise No. (1) A PaaS solution that hosts web apps in Azure provides full control of the operating systems that host applications. (2) A PaaS solution that hosts web apps in Azure can be provided with additional memory by changing the pricing tier. (3) A PaaS solution that hosts web apps in Azure can be configured to automatically scale the number of instances based on demand.","","No, Yes, Yes","1=No, 2=Yes, 3=Yes","Azure App Service (PaaS) does not expose OS-level control. You increase memory by moving to a higher pricing tier, and App Service supports autoscaling the number of instances based on demand.","False"
"65","yesno","Cloud Concepts","Your company plans to migrate all data and resources to Azure, and the migration plan states that only Platform as a Service (PaaS) solutions must be used. Solution: You create Azure virtual machines, Azure SQL databases, and Azure Storage accounts. Does this meet the goal?","A. Yes | B. No","B","No","Azure virtual machines are IaaS, not PaaS, so including them violates the PaaS-only requirement and the solution does not meet the goal.","False"
"66","single","Cloud Concepts","Your company plans to deploy several custom applications to Azure that provide invoicing services to customers. Each application has several prerequisite applications and services that must be installed. You need to recommend a cloud deployment solution for all the applications. What should you recommend?","A. Software as a Service (SaaS) | B. Platform as a Service (PaaS) | C. Infrastructure as a Service (IaaS)","C","Infrastructure as a Service (IaaS)","Because you must install custom prerequisite applications and services onto the servers, you need OS-level access, which IaaS provides. SaaS delivers finished apps and PaaS does not give you the OS control needed to install arbitrary prerequisites.","False"
